incomeBetween100to200,blockFips,incomeLessThan25,incomeBelowPoverty,medianIncome,incomeGreater200,educationBachelorOrGreater,incomeBetween50to100,educationHighSchoolGraduate,incomeBetween25to50,lat,lng
0.23362,360610118006000,0.10571,0.166,122335.0,0.3943,0.7413,0.18076,0.9833,0.08562,40.7634,-73.9596
0.1325,360610040006001,0.2887,0.166,43467.0,0.0614,0.7068,0.2887,0.914,0.22873,40.7307,-73.9837
0.24242,360610036021000,0.34849,0.166,55152.0,0.0268,0.5478,0.26107,0.8146,0.12121,40.7242,-73.9878
0.30397,360610040003000,0.21934,0.166,96396.0,0.1278,0.6554,0.24525,0.9211,0.10363,40.7298,-73.9868
0.13395,360610137001000,0.06897,0.166,96750.0,0.305,0.7883,0.313,0.9891,0.17905,40.7658,-73.9781
0.08298,360610111001001,0.34244,0.166,40076.0,0.1166,0.4022,0.27731,0.7069,0.18067,40.7548,-73.9944
0.36961,360810001001011,0.10451,0.151,126837.0,0.2405,0.6612,0.23092,0.8588,0.05441,40.7437,-73.9585
0.09731,360610041005004,0.39072,0.166,39907.0,0.1602,0.29,0.1482,0.509,0.20359,40.7177,-73.9984
0.24753,360610116002000,0.03218,0.166,118972.0,0.3243,0.7015,0.28094,0.9791,0.1151,40.763,-73.9579
0.11922,360470333001001,0.43552,0.229,37805.0,0.0316,0.2,0.22141,0.8905,0.19221,40.6663,-73.9402
0.4465,360610068005000,0.11934,0.166,129108.0,0.1955,0.782,0.10288,0.9779,0.1358,40.7406,-73.9822
0.17495,360610098006001,0.08195,0.166,96207.0,0.1685,0.7535,0.44107,0.9655,0.13352,40.755,-73.9663
0.35087,360610129002008,0.12626,0.166,112467.0,0.1995,0.6611,0.16011,0.9118,0.16331,40.7621,-73.9956
0.11202,360610072001000,0.04508,0.166,105849.0,0.3825,0.7524,0.37705,0.9695,0.08333,40.7469,-73.9803
0.37234,360810216002001,0.19787,0.151,91252.0,0.0234,0.2192,0.28511,0.6451,0.12128,40.7111,-73.8272
0.30019,360610317031000,0.12347,0.166,108008.0,0.2342,0.7507,0.26767,0.9691,0.07446,40.7182,-74.0148
0.11145,360610227001004,0.27861,0.166,54588.0,0.0753,0.3066,0.3253,0.8183,0.20934,40.8217,-73.9486
0.25091,360610032001001,0.18339,0.166,62318.0,0.0182,0.6579,0.2938,0.9467,0.25365,40.7265,-73.9835
0.08528,360810271003002,0.29264,0.151,42417.0,0.0719,0.1745,0.26756,0.5934,0.28261,40.7441,-73.8792
0.22571,360610122004002,0.04484,0.166,172238.0,0.4484,0.744,0.15695,0.9612,0.12407,40.7689,-73.9681
0.32558,360470021001003,0.12064,0.229,168991.0,0.4913,0.7105,0.0625,0.9861,0.0,40.7032,-73.9914
0.18525,360610161003000,0.07541,0.166,160489.0,0.4525,0.8297,0.12295,0.9907,0.16393,40.7787,-73.9751
0.15069,360610032002000,0.05708,0.166,59274.0,0.0731,0.6719,0.35388,0.9502,0.3653,40.7265,-73.9851
0.28404,360610080002004,0.21948,0.166,121398.0,0.2523,0.7019,0.1608,0.9584,0.08333,40.7491,-73.9789
0.2073,360610146023000,0.19416,0.166,84365.0,0.1007,0.7148,0.39562,0.9858,0.10219,40.7793,-73.9496
0.15966,360810083001003,0.18768,0.151,50573.0,0.0,0.2722,0.34174,0.6639,0.31092,40.7726,-73.926
0.29837,360610078003000,0.16637,0.166,69081.0,0.1157,0.6225,0.26944,0.9573,0.15009,40.7462,-73.9757
0.36265,360610073006003,0.09472,0.166,112839.0,0.2124,0.6583,0.20298,0.9635,0.1272,40.7346,-74.0018
0.32593,360610007001009,0.11065,0.166,120960.0,0.2567,0.8063,0.22559,0.9716,0.08112,40.7062,-74.0099
0.24725,360610134008000,0.16016,0.166,193324.0,0.4925,0.7512,0.08008,0.961,0.02002,40.7704,-73.9566
0.27187,360610110003001,0.09062,0.166,96765.0,0.156,0.7441,0.34247,0.966,0.13909,40.7616,-73.9643
0.12544,360610086032000,0.0159,0.166,205421.0,0.4876,0.7306,0.27915,0.9653,0.09187,40.755,-73.9636
0.25674,360610121001000,0.23976,0.166,86308.0,0.1808,0.3884,0.22877,0.7788,0.09391,40.7588,-73.9907
0.27627,360470015003008,0.14915,0.229,93020.0,0.1288,0.3002,0.26949,0.7333,0.17627,40.6911,-73.9822
0.20943,360610066002001,0.26907,0.166,58704.0,0.0,0.6053,0.33981,0.9895,0.18169,40.7417,-73.9806
0.35087,360610129002011,0.12626,0.166,112467.0,0.1995,0.6611,0.16011,0.9118,0.16331,40.7603,-73.995
0.0,360610245007000,0.52,0.166,24498.0,0.0,0.1424,0.36308,0.4651,0.11692,40.8342,-73.9427
0.20504,360610125002001,0.1395,0.166,177565.0,0.3739,0.7551,0.13109,0.9728,0.15042,40.7604,-73.987
0.29837,360610078003000,0.16637,0.166,69081.0,0.1157,0.6225,0.26944,0.9573,0.15009,40.746,-73.9754
0.29044,360610146026000,0.0671,0.166,125518.0,0.2509,0.7294,0.24265,0.9438,0.1489,40.7771,-73.9496
0.06102,360470920002002,0.51772,0.229,22967.0,0.0,0.0133,0.19291,0.7578,0.22835,40.6577,-73.9055
0.24563,360610131002002,0.17643,0.166,128769.0,0.3316,0.6199,0.11635,0.9127,0.13004,40.7637,-73.9846
0.2685,360610015021009,0.07398,0.166,120956.0,0.2972,0.7676,0.30549,0.978,0.05485,40.7095,-74.0094
0.18206,360610058001008,0.21569,0.166,142347.0,0.4028,0.6785,0.12872,0.8775,0.07074,40.7425,-73.9926
0.42905,360610013001013,0.0538,0.166,114553.0,0.1493,0.6171,0.25017,0.8889,0.11769,40.7088,-74.0143
0.32529,360610128001002,0.03148,0.166,102378.0,0.2487,0.7563,0.18783,0.9601,0.20672,40.7722,-73.9606
0.31588,360610080001003,0.17568,0.166,68870.0,0.1402,0.6233,0.19595,0.9747,0.1723,40.7489,-73.9765
0.25954,360610038006000,0.33588,0.166,69609.0,0.0248,0.649,0.32252,0.9034,0.05725,40.7274,-73.9882
0.30085,360610099001028,0.16017,0.166,129981.0,0.278,0.4913,0.14576,0.7939,0.11525,40.7512,-74.0026
0.30309,360610117001000,0.09927,0.166,86543.0,0.1302,0.387,0.28031,0.7096,0.18714,40.7593,-73.9962
0.21958,360610193004001,0.45238,0.166,41067.0,0.0397,0.2927,0.10318,0.5054,0.18519,40.8008,-73.9611
0.13636,360610030021001,0.28571,0.166,58233.0,0.0733,0.5063,0.31633,0.8067,0.18831,40.7221,-73.9837
0.08128,360610040002000,0.05419,0.166,88540.0,0.2488,0.638,0.26601,0.9082,0.34975,40.731,-73.9876
0.25744,360610179003000,0.11458,0.166,170302.0,0.3854,0.835,0.1503,0.9394,0.09226,40.7928,-73.9758
0.28708,360610090003000,0.04625,0.166,162269.0,0.3493,0.7497,0.18501,0.9837,0.13238,40.753,-73.9695
0.35992,360610034004001,0.20817,0.166,77188.0,0.0447,0.4129,0.20039,0.7951,0.18677,40.7302,-73.9826
0.0,360810889016003,0.41126,0.151,43062.0,0.0678,0.0703,0.2684,0.6391,0.25253,40.7663,-73.8288
0.22115,360610075001006,0.07404,0.166,108928.0,0.3087,0.7567,0.25673,0.9863,0.13942,40.7328,-74.0089
0.17572,360610191006000,0.22524,0.166,75045.0,0.1693,0.466,0.25719,0.736,0.17252,40.7992,-73.9674
0.24701,360610100002001,0.19695,0.166,75392.0,0.1066,0.7367,0.3025,0.9328,0.1469,40.7588,-73.9694
0.33925,360610098002001,0.21314,0.166,109382.0,0.167,0.7075,0.19005,0.9515,0.09059,40.756,-73.9687
0.40055,360610040005001,0.07459,0.166,108585.0,0.1225,0.6408,0.21639,0.9006,0.186,40.7297,-73.986
0.29182,360610089005000,0.0,0.166,126154.0,0.2674,0.7211,0.17216,0.932,0.26862,40.7444,-74.0
0.34203,360610068006000,0.10821,0.166,105683.0,0.1517,0.7913,0.31981,0.9853,0.07826,40.742,-73.9826
0.13239,360610187005000,0.17042,0.166,39004.0,0.0761,0.3901,0.21972,0.7637,0.40141,40.7976,-73.968
0.26392,360610156013001,0.0799,0.166,69155.0,0.0775,0.6975,0.30024,0.9328,0.27845,40.7836,-73.9491
0.27832,360610158022001,0.22654,0.166,77223.0,0.0744,0.5498,0.22007,0.7913,0.20065,40.7868,-73.9504
0.07066,360610201022001,0.23341,0.166,40562.0,0.0493,0.2253,0.18844,0.6508,0.45824,40.8035,-73.9567
0.42905,360610013001016,0.0538,0.166,114553.0,0.1493,0.6171,0.25017,0.8889,0.11769,40.708,-74.0149
0.37921,360610152003000,0.02599,0.166,113291.0,0.2477,0.5573,0.29664,0.8113,0.05046,40.7803,-73.9465
