cv_folds,model,parameters,predictors,score,score_std,timestamp
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.337994751,0.054726271,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.272268827,0.059194215,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.222687787,0.053068214,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 10, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.701695498,0.0108093,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.696840489,0.006603956,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.69479494,0.003542174,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694330409,0.003396342,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694358087,0.003316492,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 20, 'n_estimators': 10, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.695077185,0.001789112,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 20, 'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.691839796,0.002394586,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 20, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.691291284,0.002488888,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 20, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.691127057,0.002445756,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 20, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.691146983,0.002437973,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 50, 'n_estimators': 10, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.697031722,0.002555994,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 50, 'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.695445327,0.002565538,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 50, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694896636,0.002307256,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 50, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694719153,0.002147991,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694876706,0.00217223,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 100, 'n_estimators': 10, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.704620405,0.002789626,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 100, 'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.703129153,0.002453236,3/15/17 18:48
